Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
neuroquery6308_combined_tfidf__a1,1.0,-0.0,1.1617282010997643,1.0,0.0,5.535829049079804e-05
neuroquery6308_combined_tfidf__a10,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__a11,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__a12,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__a15,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__a2,1.0,-0.0,1.453950563635899,1.0,0.0,3.858809718155518e-05
neuroquery6308_combined_tfidf__a3,0.6510187215158663,-0.45234741706014475,2.206429990069514,0.6400206298928682,0.4676699552637464,2.3068708843863628e-05
neuroquery6308_combined_tfidf__a4,1.0,-0.0,0.652787660385154,1.0,-0.0,7.481291627877435e-06
neuroquery6308_combined_tfidf__a5,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__a6,1.0,-0.0,1.043822946487558,1.0,0.0,3.1480954457026637e-06
neuroquery6308_combined_tfidf__a7,1.0,-0.0,12.473684210526317,1.0,0.0,7.523948115229366e-06
neuroquery6308_combined_tfidf__a8,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__a9,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__ab,1.0,-0.0,0.7198663539258535,1.0,-0.0,2.8658064638962767e-05
neuroquery6308_combined_tfidf__abdominal,1.0,-0.0,1.026922410306777,1.0,0.0,2.560289698925471e-05
neuroquery6308_combined_tfidf__abducens,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__aberrant,1.0,0.0,0.9377870524337336,0.7947026998290662,-0.26020882173582194,0.00021099108775294597
neuroquery6308_combined_tfidf__abilities,0.8703134719579632,0.16326032351734895,1.1507412898443292,0.10414913319485347,1.6250630117383855,0.0005245163238066836
neuroquery6308_combined_tfidf__abilities social,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__ability,1.0,0.0,1.0819502495637707,0.43597624257607653,0.7790058943554071,0.001288265827054404
neuroquery6308_combined_tfidf__ability social,1.0,-0.0,3.3561482180788293,1.0,0.0,6.747935529353693e-06
neuroquery6308_combined_tfidf__ability spatial,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__abnormal,1.0,0.0,0.9530557337495094,0.022051042148281595,-2.2894875209686996,0.0008515735054340737
neuroquery6308_combined_tfidf__abscess,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__absence,1.0,0.0,1.0227101521429531,1.0,0.0,0.0010219714138208801
neuroquery6308_combined_tfidf__absence epilepsy,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__absence seizure,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__absent,1.0,0.0,0.7512077912118811,0.563488906898118,-0.5776670829350617,0.00024755336233556023
neuroquery6308_combined_tfidf__abstinence,1.0,-0.0,1.0734194267663866,1.0,0.0,6.604206884903447e-05
neuroquery6308_combined_tfidf__abstinence alcohol,1.0,-0.0,1.4790929893904723,1.0,0.0,5.650395817761184e-06
neuroquery6308_combined_tfidf__abstract,0.2062975373093878,1.2638119323886865,1.161392649689688,0.13589895645728878,1.4912382429732487,0.0016168358289792354
neuroquery6308_combined_tfidf__abstract knowledge,1.0,-0.0,0.8836139936618406,1.0,-0.0,3.375561137883305e-06
neuroquery6308_combined_tfidf__abuse,1.0,0.0,0.9366402811724215,0.2237203566202024,-1.2166948043440287,0.0005114843958443743
neuroquery6308_combined_tfidf__abuse alcohol,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__abuse cocaine,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__ac,1.0,0.0,1.1007824351505155,0.6146898682798447,0.5033903309915925,0.0004908997660132174
neuroquery6308_combined_tfidf__ac pc line,0.9550815506864279,0.05632669797176871,1.2114872150123746,0.3931428631848815,0.8539316473902757,0.0002491863571991605
neuroquery6308_combined_tfidf__academic,1.0,-0.0,1.042937546835887,1.0,0.0,0.00011323530516952287
neuroquery6308_combined_tfidf__acalculia,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__acc,1.0,0.0,0.9483613920366363,1.0,-0.0,0.0006809159508402952
neuroquery6308_combined_tfidf__acceptability,0.3114877957034672,-1.012105117706037,2.431912437470606,0.20802410527996057,1.2590172389587693,3.716133593874456e-05
neuroquery6308_combined_tfidf__acceptance,0.5483695889481662,-0.6002050493236543,1.5536617344071924,0.41329087281966964,0.8181161414402083,9.215274530218648e-05
neuroquery6308_combined_tfidf__acceptor,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__access,0.08506104386471261,1.7220467844361196,1.3559570474114493,7.895857605451985e-05,3.947539250770756,0.0004681079533362404
neuroquery6308_combined_tfidf__accessory,1.0,-0.0,1.2741250470404817,0.9199867507463122,0.10045040996312242,1.537068052140831e-05
neuroquery6308_combined_tfidf__accessory olfactory bulb,1.0,-0.0,32.54004576659039,1.0,0.0,1.308512715692064e-05
neuroquery6308_combined_tfidf__accident,1.0,-0.0,1.306974373543002,1.0,0.0,4.5724199690582664e-05
neuroquery6308_combined_tfidf__accountability,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__accumbens,1.0,0.0,0.8797078937281879,1.0,-0.0,0.0001878420407947796
neuroquery6308_combined_tfidf__accumulation,1.0,-0.0,0.7584560090591306,1.0,-0.0,5.7186228658782614e-05
neuroquery6308_combined_tfidf__accuracy,1.0,0.0,0.955071974808817,1.0,-0.0,0.0010695992480286003
neuroquery6308_combined_tfidf__accurate,1.0,0.0,0.9707922097154843,1.0,-0.0,0.0008039848530785394
neuroquery6308_combined_tfidf__acg,1.0,-0.0,1.3451133224866625,1.0,0.0,1.7849769072794328e-05
neuroquery6308_combined_tfidf__ache,1.0,-0.0,1.8187631898701797,1.0,0.0,9.14209977549133e-06
neuroquery6308_combined_tfidf__achievement,1.0,-0.0,1.027789452268584,1.0,0.0,0.00010807758642505863
neuroquery6308_combined_tfidf__acid,1.0,-0.0,1.3066815132727578,1.0,0.0,9.825872880071545e-05
neuroquery6308_combined_tfidf__acidosis,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__acoustic,1.0,-0.0,0.7130288912997895,0.821221732651375,-0.2259738838429211,0.00012917001519147455
neuroquery6308_combined_tfidf__acoustic processing,1.0,-0.0,0.6415954158864801,1.0,-0.0,7.482022986426117e-06
neuroquery6308_combined_tfidf__acoustic startle reflex,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__acoustic trauma,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__acquired,1.0,0.0,1.004923132837565,1.0,0.0,0.002160135356446499
