Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
neuroquery6308_combined_tfidf__a1,1.0,-0.0,1.0095683743444939,1.0,0.0,4.776306889317186e-05
neuroquery6308_combined_tfidf__a10,1.0,-0.0,1.4234234234234235,1.0,0.0,3.693903966347075e-06
neuroquery6308_combined_tfidf__a11,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__a12,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__a15,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__a2,1.0,-0.0,0.6844046572069884,0.46961366042393426,-0.7231077953382876,1.8034122999298975e-05
neuroquery6308_combined_tfidf__a3,1.0,-0.0,0.6231673890872005,1.0,-0.0,6.468687959935621e-06
neuroquery6308_combined_tfidf__a4,1.0,-0.0,0.7682016949352318,1.0,-0.0,8.740942367278566e-06
neuroquery6308_combined_tfidf__a5,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__a6,1.0,-0.0,0.49134908967544955,1.0,-0.0,1.471260430754588e-06
neuroquery6308_combined_tfidf__a7,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__a8,1.0,-0.0,1.8590886400912787,1.0,0.0,1.855573841426631e-06
neuroquery6308_combined_tfidf__a9,1.0,-0.0,2.2018581081081083,1.0,0.0,2.6372343221275993e-06
neuroquery6308_combined_tfidf__ab,1.0,-0.0,1.1859960312990132,1.0,0.0,4.687664982967428e-05
neuroquery6308_combined_tfidf__abdominal,1.0,-0.0,0.4833936571038657,0.14554420112252284,-1.4554518856870025,1.1965497839144617e-05
neuroquery6308_combined_tfidf__abducens,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__aberrant,1.0,0.0,0.956444227275696,0.18705999293312492,-1.319326467729226,0.00021364753028664838
neuroquery6308_combined_tfidf__abilities,1.0,0.0,1.0544109250095166,0.10520442768294902,1.6201296581711913,0.00047716607295997905
neuroquery6308_combined_tfidf__abilities social,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__ability,1.0,0.0,0.9914303277834504,1.0,-0.0,0.001172030039436334
neuroquery6308_combined_tfidf__ability social,1.0,-0.0,1.5798085080596291,1.0,0.0,3.153643434532256e-06
neuroquery6308_combined_tfidf__ability spatial,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__abnormal,1.0,0.0,0.8117941481594383,5.5593138928455405e-15,-7.813564060041621,0.0007201585259779385
neuroquery6308_combined_tfidf__abscess,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__absence,1.0,0.0,1.0375234049679503,1.0,0.0,0.0010293484888873837
neuroquery6308_combined_tfidf__absence epilepsy,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__absence seizure,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__absent,1.0,0.0,1.0437171022406575,0.27633253164523847,1.0885949796501686,0.00034148363320964255
neuroquery6308_combined_tfidf__abstinence,1.0,-0.0,0.7773550249278405,0.21243031712014832,-1.2469104976925567,4.7484183734689336e-05
neuroquery6308_combined_tfidf__abstinence alcohol,1.0,-0.0,0.6962397179788484,1.0,-0.0,2.6407089391528e-06
neuroquery6308_combined_tfidf__abstract,0.0006746612290421585,3.399674467988897,1.168842008710347,0.00030195413197301623,3.6136177484318415,0.001615552260086064
neuroquery6308_combined_tfidf__abstract knowledge,1.0,-0.0,0.8318708318708319,1.0,-0.0,3.1551327584682806e-06
neuroquery6308_combined_tfidf__abuse,1.0,0.0,0.856108714969982,1.5017025461568467e-05,-4.328438497515353,0.0004641590512274993
neuroquery6308_combined_tfidf__abuse alcohol,1.0,-0.0,0.7316662456849373,1.0,-0.0,3.943527958321644e-06
neuroquery6308_combined_tfidf__abuse cocaine,1.0,-0.0,0.838803088803089,1.0,-0.0,1.8418779392637203e-06
neuroquery6308_combined_tfidf__ac,1.0,0.0,1.0450307923981728,0.3989008251544382,0.8435859374953781,0.00046269922194919775
