FEATURE,Anatomical,Functional,Clinical,Non-Specific,Classification
aberrant,0.0,0.1111111111111111,0.3333333333333333,0.5555555555555556,Non-Specific
abilities,0.0,0.4444444444444444,0.0,0.5555555555555556,Non-Specific
ability,0.0,0.4444444444444444,0.0,0.5555555555555556,Non-Specific
able,0.0,0.2222222222222222,0.1111111111111111,0.6666666666666666,Non-Specific
abnormal,0.0,0.1111111111111111,0.3333333333333333,0.5555555555555556,Non-Specific
abnormalities,0.0,0.1111111111111111,0.3333333333333333,0.5555555555555556,Non-Specific
abnormality,0.0,0.1111111111111111,0.2222222222222222,0.6666666666666666,Non-Specific
absence,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
absent,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
absolute,0.0,0.0,0.0,0.8888888888888888,Non-Specific
abstract,0.0,0.5555555555555556,0.0,0.4444444444444444,Functional
abuse,0.0,0.1111111111111111,0.5555555555555556,0.3333333333333333,Clinical
acc,1.0,0.0,0.0,0.0,Anatomical
access,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
accompanied,0.0,0.0,0.0,1.0,Non-Specific
accordance,0.0,0.0,0.0,1.0,Non-Specific
according,0.0,0.0,0.0,1.0,Non-Specific
accordingly,0.0,0.0,0.0,1.0,Non-Specific
account,0.0,0.0,0.0,1.0,Non-Specific
accounted,0.0,0.0,0.0,1.0,Non-Specific
accounts,0.0,0.0,0.0,1.0,Non-Specific
accumbens,1.0,0.0,0.0,0.0,Anatomical
accuracy,0.0,0.6666666666666666,0.0,0.3333333333333333,Functional
accurate,0.0,0.5555555555555556,0.0,0.4444444444444444,Functional
accurately,0.0,0.5555555555555556,0.0,0.4444444444444444,Functional
achieve,0.0,0.4444444444444444,0.0,0.5555555555555556,Non-Specific
achieved,0.0,0.4444444444444444,0.0,0.5555555555555556,Non-Specific
acoustic,0.0,0.7777777777777778,0.0,0.2222222222222222,Functional
acquired,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
acquisition,0.0,0.2222222222222222,0.0,0.7777777777777778,Non-Specific
act,0.0,0.5555555555555556,0.0,0.4444444444444444,Functional
action,0.0,0.8888888888888888,0.0,0.1111111111111111,Functional
action observation,0.0,0.8888888888888888,0.0,0.1111111111111111,Functional
actions,0.0,0.8888888888888888,0.0,0.1111111111111111,Functional
activate,0.0,0.3333333333333333,0.0,0.6666666666666666,Non-Specific
activates,0.0,0.3333333333333333,0.0,0.6666666666666666,Non-Specific
activations,0.0,0.3333333333333333,0.0,0.6666666666666666,Non-Specific
active,0.0,0.3333333333333333,0.0,0.6666666666666666,Non-Specific
actively,0.0,0.3333333333333333,0.0,0.6666666666666666,Non-Specific
activities,0.0,0.5555555555555556,0.0,0.4444444444444444,Functional
acts,0.0,0.4444444444444444,0.0,0.5555555555555556,Non-Specific
actual,0.0,0.0,0.0,1.0,Non-Specific
actually,0.0,0.0,0.0,1.0,Non-Specific
acute,0.0,0.0,0.5555555555555556,0.4444444444444444,Clinical
ad,0.0,0.0,0.3333333333333333,0.6666666666666666,Non-Specific
adaptation,0.0,0.6666666666666666,0.0,0.3333333333333333,Functional
adapted,0.0,0.6666666666666666,0.0,0.3333333333333333,Functional
adaptive,0.0,0.7777777777777778,0.0,0.2222222222222222,Functional
add,0.0,0.2222222222222222,0.3333333333333333,0.4444444444444444,Non-Specific
addiction,0.0,0.1111111111111111,0.8888888888888888,0.0,Clinical
addition,0.0,0.8888888888888888,0.0,0.1111111111111111,Functional
additional,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
additionally,0.0,0.1111111111111111,0.0,0.8888888888888888,Non-Specific
addressed,0.0,0.0,0.0,1.0,Non-Specific
adhd,0.0,0.0,1.0,0.0,Clinical
adjacent,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.5555555555555556,Non-Specific
