Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
neuroquery6308_combined_tfidf__a1,1.0,-0.0,0.855938404335549,1.0,-0.0,4.028057116281063e-05
neuroquery6308_combined_tfidf__a10,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__a11,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__a12,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__a15,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__a2,1.0,-0.0,0.8034315541125516,1.0,-0.0,2.1058506965873413e-05
neuroquery6308_combined_tfidf__a3,1.0,-0.0,0.9753924350930093,1.0,-0.0,1.0071345339399901e-05
neuroquery6308_combined_tfidf__a4,1.0,-0.0,0.4809610611768408,1.0,-0.0,5.443641722580805e-06
neuroquery6308_combined_tfidf__a5,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__a6,1.0,-0.0,0.7690681403615731,1.0,-0.0,2.290661100689603e-06
neuroquery6308_combined_tfidf__a7,1.0,-0.0,9.1903642773208,1.0,0.0,5.4746800306481505e-06
neuroquery6308_combined_tfidf__a8,1.0,-0.0,1.4549389357236093,1.0,0.0,1.444506604392652e-06
neuroquery6308_combined_tfidf__a9,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__ab,1.0,-0.0,0.8839721972415003,1.0,-0.0,3.4754300931976075e-05
neuroquery6308_combined_tfidf__abdominal,1.0,-0.0,0.6052929271561449,1.0,-0.0,1.4903629501654682e-05
neuroquery6308_combined_tfidf__abducens,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__aberrant,1.0,0.0,1.019963456894101,0.9637843931247817,0.04540512866147903,0.00022663107560864432
neuroquery6308_combined_tfidf__abilities,0.39012163063901023,0.8593968071742397,1.17791992850168,0.005903755546378754,2.753079513553195,0.00053023946773832
neuroquery6308_combined_tfidf__abilities social,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__ability,1.0,0.0,1.0549078502591627,0.5570357646570423,0.5872500768549809,0.0012404740642998119
neuroquery6308_combined_tfidf__ability social,1.0,-0.0,4.945487503491013,1.0,0.0,9.820053866633457e-06
neuroquery6308_combined_tfidf__ability spatial,1.0,-0.0,1.6123446100562804,1.0,0.0,3.8418807232618595e-06
neuroquery6308_combined_tfidf__abnormal,1.0,0.0,0.9362568665271325,0.0005849971299194344,-3.438476583637527,0.0008261783828435033
neuroquery6308_combined_tfidf__abscess,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__absence,1.0,0.0,1.0393277934983294,1.0,0.0,0.0010256842607102004
neuroquery6308_combined_tfidf__absence epilepsy,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__absence seizure,1.0,-0.0,0.9674067660337683,1.0,-0.0,4.994444940240419e-06
neuroquery6308_combined_tfidf__absent,1.0,0.0,0.8837747095238068,1.0,-0.0,0.00028762410764222103
neuroquery6308_combined_tfidf__abstinence,1.0,-0.0,1.1558931240231365,1.0,0.0,7.023342828373422e-05
neuroquery6308_combined_tfidf__abstinence alcohol,1.0,-0.0,1.089766515097328,1.0,0.0,4.1114197858622484e-06
neuroquery6308_combined_tfidf__abstract,0.025083567388657874,2.240113314180319,1.1714532728645375,0.012060705858728014,2.510363152929488,0.0016105966466160467
neuroquery6308_combined_tfidf__abstract knowledge,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__abuse,1.0,0.0,0.897797487177216,0.015490877271699626,-2.4206947927632076,0.0004841867631586622
neuroquery6308_combined_tfidf__abuse alcohol,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__abuse cocaine,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__ac,1.0,0.0,0.9405277131583554,1.0,-0.0,0.00041422651962745555
neuroquery6308_combined_tfidf__ac pc line,1.0,0.0,1.0242949252931577,1.0,0.0,0.00020806805912042996
neuroquery6308_combined_tfidf__academic,0.9674287475499224,-0.04083335566558905,1.2361471490852574,1.0,0.0,0.00013254663073292952
neuroquery6308_combined_tfidf__acalculia,1.0,-0.0,1.2898756880450244,1.0,0.0,5.378633012566605e-06
neuroquery6308_combined_tfidf__acc,1.0,0.0,0.8669476806821397,0.31730517663247976,-1.0000110163322657,0.0006147343773412315
