,cluster,network,%overlap
0,gradient-1_cluster-1600-1813>gradient-1_cluster-0-400,2_binary.nii,0.0
1,gradient-1_cluster-1600-1813>gradient-1_cluster-0-400,7_binary.nii,33.51324828263003
2,gradient-1_cluster-1600-1813>gradient-1_cluster-0-400,5_binary.nii,0.0
3,gradient-1_cluster-1600-1813>gradient-1_cluster-0-400,6_binary.nii,54.85770363101079
4,gradient-1_cluster-1600-1813>gradient-1_cluster-0-400,3_binary.nii,1.717369970559372
5,gradient-1_cluster-1600-1813>gradient-1_cluster-0-400,4_binary.nii,0.0
6,gradient-1_cluster-1600-1813>gradient-1_cluster-0-400,1_binary.nii,0.0
7,gradient-1_cluster-1600-1813>gradient-1_cluster-0-400,clustercorr_vatl_binary.nii,19.038272816486753
8,gradient-1_cluster-0-400>gradient-1_cluster-1600-1813,2_binary.nii,2.4714828897338403
9,gradient-1_cluster-0-400>gradient-1_cluster-1600-1813,7_binary.nii,22.73764258555133
10,gradient-1_cluster-0-400>gradient-1_cluster-1600-1813,5_binary.nii,0.45627376425855515
11,gradient-1_cluster-0-400>gradient-1_cluster-1600-1813,6_binary.nii,8.288973384030419
12,gradient-1_cluster-0-400>gradient-1_cluster-1600-1813,3_binary.nii,0.0
13,gradient-1_cluster-0-400>gradient-1_cluster-1600-1813,4_binary.nii,48.5171102661597
14,gradient-1_cluster-0-400>gradient-1_cluster-1600-1813,1_binary.nii,0.0
15,gradient-1_cluster-0-400>gradient-1_cluster-1600-1813,clustercorr_vatl_binary.nii,17.718631178707223
16,gradient-0_cluster-80-100>gradient-0_cluster-0-20,2_binary.nii,0.9900990099009901
17,gradient-0_cluster-80-100>gradient-0_cluster-0-20,7_binary.nii,5.452719184961975
18,gradient-0_cluster-80-100>gradient-0_cluster-0-20,5_binary.nii,0.0
19,gradient-0_cluster-80-100>gradient-0_cluster-0-20,6_binary.nii,35.94489883770986
20,gradient-0_cluster-80-100>gradient-0_cluster-0-20,3_binary.nii,27.00530922657483
21,gradient-0_cluster-80-100>gradient-0_cluster-0-20,4_binary.nii,13.459606830248243
22,gradient-0_cluster-80-100>gradient-0_cluster-0-20,1_binary.nii,0.44482709140479265
23,gradient-0_cluster-80-100>gradient-0_cluster-0-20,clustercorr_vatl_binary.nii,4.448270914047926
24,gradient-0_cluster-0-20>gradient-0_cluster-80-100,2_binary.nii,0.0
25,gradient-0_cluster-0-20>gradient-0_cluster-80-100,7_binary.nii,64.89769820971867
26,gradient-0_cluster-0-20>gradient-0_cluster-80-100,5_binary.nii,2.7813299232736575
27,gradient-0_cluster-0-20>gradient-0_cluster-80-100,6_binary.nii,16.11253196930946
28,gradient-0_cluster-0-20>gradient-0_cluster-80-100,3_binary.nii,0.0319693094629156
29,gradient-0_cluster-0-20>gradient-0_cluster-80-100,4_binary.nii,1.0869565217391304
30,gradient-0_cluster-0-20>gradient-0_cluster-80-100,1_binary.nii,0.0
31,gradient-0_cluster-0-20>gradient-0_cluster-80-100,clustercorr_vatl_binary.nii,47.82608695652174
32,gradient-1_cluster-0-20>gradient-1_cluster-80-100,2_binary.nii,3.3181696548033184
33,gradient-1_cluster-0-20>gradient-1_cluster-80-100,7_binary.nii,25.314423334225314
34,gradient-1_cluster-0-20>gradient-1_cluster-80-100,5_binary.nii,2.113995183302114
35,gradient-1_cluster-0-20>gradient-1_cluster-80-100,6_binary.nii,8.803853358308803
36,gradient-1_cluster-0-20>gradient-1_cluster-80-100,3_binary.nii,0.0
37,gradient-1_cluster-0-20>gradient-1_cluster-80-100,4_binary.nii,46.05298367674605
38,gradient-1_cluster-0-20>gradient-1_cluster-80-100,1_binary.nii,0.0
39,gradient-1_cluster-0-20>gradient-1_cluster-80-100,clustercorr_vatl_binary.nii,16.242975648916243
40,gradient-1_cluster-80-100>gradient-1_cluster-0-20,2_binary.nii,0.2471169686985173
41,gradient-1_cluster-80-100>gradient-1_cluster-0-20,7_binary.nii,13.529654036243823
42,gradient-1_cluster-80-100>gradient-1_cluster-0-20,5_binary.nii,0.0
43,gradient-1_cluster-80-100>gradient-1_cluster-0-20,6_binary.nii,51.23558484349259
44,gradient-1_cluster-80-100>gradient-1_cluster-0-20,3_binary.nii,26.585667215815487
45,gradient-1_cluster-80-100>gradient-1_cluster-0-20,4_binary.nii,0.3088962108731466
46,gradient-1_cluster-80-100>gradient-1_cluster-0-20,1_binary.nii,0.08237232289950576
47,gradient-1_cluster-80-100>gradient-1_cluster-0-20,clustercorr_vatl_binary.nii,7.228171334431631
