,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
0,1,42.0,24.0,-4.0,,15904
1,1a,50.0,22.0,24.0,,
2,2,-2.0,22.0,46.0,,13264
3,3,-22.0,-8.0,-16.0,3.7190164854556804,448
4,4,-42.0,24.0,8.0,,46376
5,5,-36.0,-56.0,46.0,,7736
6,5a,-48.0,-62.0,28.0,,
7,6,-44.0,-62.0,-12.0,3.7190164854556804,912
8,7,-56.0,-38.0,-2.0,,4192
9,8,-56.0,-10.0,-18.0,3.011453758499792,168
10,9,-4.0,54.0,20.0,2.530192383857029,200
11,10,-12.0,8.0,4.0,2.422833101889276,104
12,11,-8.0,-14.0,6.0,2.000929388101571,32
13,12,-2.0,48.0,-10.0,1.8158068900992217,16
