,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
0,1,36.0,22.0,-18.0,3.890591886413094,4048
1,1a,30.0,30.0,-14.0,3.890591886413094,
2,1b,46.0,32.0,-8.0,,
3,2,-6.0,42.0,40.0,3.890591886413094,1080
4,2a,-6.0,34.0,48.0,3.890591886413094,
5,3,-2.0,50.0,-10.0,3.890591886413094,16
6,4,-4.0,54.0,22.0,3.890591886413094,200
7,5,-40.0,34.0,-10.0,,17152
8,6,-40.0,14.0,48.0,3.890591886413094,184
9,7,-48.0,-62.0,30.0,,2720
10,8,-56.0,-10.0,-18.0,3.890591886413094,160
11,9,-8.0,30.0,50.0,3.3527947805048592,8
12,10,-58.0,-32.0,-10.0,3.3527947805048592,112
13,11,-10.0,28.0,50.0,3.2388801183529563,8
14,12,-12.0,28.0,46.0,3.2388801183529563,8
15,13,34.0,16.0,-14.0,3.155906757921808,8
16,14,-6.0,30.0,52.0,3.155906757921808,8
17,15,28.0,28.0,-12.0,3.090232306167813,8
