,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
0,1,-52.0,34.0,6.0,23.731192,146208
1,1a,-54.0,24.0,18.0,23.640612,
2,1b,-48.0,42.0,-2.0,23.479422,
3,1c,-52.0,32.0,-6.0,22.811287,
4,2,-2.0,12.0,68.0,16.160452,992
5,2a,-10.0,12.0,72.0,14.705399,
6,3,10.0,-80.0,-28.0,14.260626,16880
7,3a,18.0,-72.0,-26.0,12.807074,
8,3b,26.0,-68.0,-28.0,12.496049,
9,3c,18.0,-68.0,-30.0,12.192773,
10,4,-12.0,56.0,30.0,14.214359,96
11,4a,-2.0,56.0,30.0,13.129725,
12,5,-10.0,60.0,38.0,13.945184,24
13,6,-50.0,-12.0,-16.0,12.506502,64
14,7,58.0,24.0,16.0,12.40592,12024
15,7a,56.0,34.0,4.0,12.400403,
16,7b,56.0,28.0,20.0,12.19515,
17,7c,56.0,30.0,-2.0,12.025854,
18,8,-50.0,-16.0,-14.0,11.576433,64
19,9,-62.0,-40.0,-22.0,11.402018,88
20,9a,-48.0,-40.0,-22.0,9.085375,
21,10,-38.0,6.0,-46.0,8.338472,184
22,10a,-30.0,8.0,-44.0,8.338472,
23,10b,-44.0,6.0,-46.0,7.8699975,
24,11,-30.0,-4.0,-34.0,8.231485,16
25,12,58.0,-42.0,-8.0,8.216482,1720
26,12a,66.0,-38.0,-10.0,7.327091,
27,12b,68.0,-50.0,4.0,6.8925757,
28,13,-48.0,-10.0,-18.0,7.8699975,24
29,14,-38.0,0.0,26.0,7.620726,8
30,15,-26.0,-6.0,-48.0,7.620726,24
31,16,68.0,-36.0,-8.0,6.0711746,8
32,17,66.0,-38.0,-2.0,6.0711746,8
33,18,58.0,-32.0,-14.0,6.0711746,8
34,19,66.0,-34.0,-6.0,6.0711746,16
35,20,14.0,44.0,52.0,5.940341,8
36,21,-54.0,-12.0,-44.0,5.940341,8
37,22,-46.0,-12.0,-44.0,5.940341,8
38,23,-18.0,28.0,-22.0,5.940341,16
39,24,-28.0,12.0,-30.0,5.940341,32
40,25,-28.0,6.0,-46.0,5.940341,8
41,26,-32.0,6.0,-50.0,5.940341,24
42,27,-42.0,-2.0,-50.0,5.940341,8
43,28,-46.0,10.0,-14.0,5.742565,8
44,29,-70.0,-40.0,8.0,5.742565,8
45,30,-34.0,-6.0,-48.0,5.742565,16
46,31,-38.0,-2.0,-50.0,5.742565,8
47,32,46.0,-64.0,-28.0,5.0847254,8
