Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
neuroquery6308_combined_tfidf__a1,0.6896217821822918,-0.3993683893803463,1.3267824810374358,0.4716567878096178,0.7197859646615873,6.273022004746878e-05
neuroquery6308_combined_tfidf__a10,1.0,-0.0,0.8633879781420766,1.0,-0.0,2.2391236964478156e-06
neuroquery6308_combined_tfidf__a11,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__a12,1.0,-0.0,4.031858954531395,1.0,0.0,4.825977778265611e-06
neuroquery6308_combined_tfidf__a15,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__a2,0.5020724865278918,-0.6712324075689543,1.5567401014339286,0.6396483891218717,0.46819046655524027,4.0993856892601036e-05
neuroquery6308_combined_tfidf__a3,1.0,-0.0,1.259955923291061,1.0,0.0,1.3070356482802699e-05
neuroquery6308_combined_tfidf__a4,1.0,-0.0,0.9319168102492975,1.0,-0.0,1.0596946408010185e-05
neuroquery6308_combined_tfidf__a5,1.0,-0.0,1.891048890178442,1.0,0.0,6.036031203494452e-06
neuroquery6308_combined_tfidf__a6,1.0,-0.0,1.7881884902942589,1.0,0.0,5.350979544938857e-06
neuroquery6308_combined_tfidf__a7,1.0,-0.0,7.122950819672131,1.0,0.0,4.262947037467957e-06
neuroquery6308_combined_tfidf__a8,1.0,-0.0,1.1276439292356937,1.0,0.0,1.124788136535081e-06
neuroquery6308_combined_tfidf__a9,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__ab,0.3938039635382572,-0.8527391706974391,1.5072611545314547,0.5114792804627513,0.6565360495793368,5.9536381196570756e-05
neuroquery6308_combined_tfidf__abdominal,1.0,-0.0,0.46912958197621063,1.0,-0.0,1.1604949125049982e-05
neuroquery6308_combined_tfidf__abducens,1.0,-0.0,4.595452141723956,1.0,0.0,2.7502884112696497e-06
neuroquery6308_combined_tfidf__aberrant,1.0,0.0,1.0965251418451685,1.0,0.0,0.00024478083785536045
neuroquery6308_combined_tfidf__abilities,0.9671115672488514,0.041231217012014494,1.0784749480489495,0.09423835259791191,1.6734519784989454,0.000487742183285697
neuroquery6308_combined_tfidf__abilities social,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__ability,1.0,0.0,1.0235466145076282,1.0,0.0,0.0012092184522817045
neuroquery6308_combined_tfidf__ability social,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__ability spatial,1.0,-0.0,1.2496404946793211,1.0,0.0,2.991541780679267e-06
neuroquery6308_combined_tfidf__abnormal,1.0,0.0,0.8649389980227665,1.1952831965344761e-08,-5.700397592962829,0.0007668108788753757
neuroquery6308_combined_tfidf__abscess,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__absence,1.0,0.0,0.9439762127167416,0.2650051786248324,-1.1146389349759676,0.0009359360507345951
neuroquery6308_combined_tfidf__absence epilepsy,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__absence seizure,1.0,-0.0,0.7497842968075928,1.0,-0.0,3.8890043148830485e-06
neuroquery6308_combined_tfidf__absent,1.0,0.0,0.9893948200224524,1.0,-0.0,0.0003235022625224631
neuroquery6308_combined_tfidf__abstinence,1.0,-0.0,0.7072656374343467,0.21473923276662987,-1.240638743401456,4.317503729474387e-05
neuroquery6308_combined_tfidf__abstinence alcohol,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__abstract,0.7909168109720275,0.26512027224013973,1.0592512365595097,1.0,0.0,0.0014631362671327943
neuroquery6308_combined_tfidf__abstract knowledge,1.0,-0.0,1.5137321694698744,1.0,0.0,5.737614666721926e-06
neuroquery6308_combined_tfidf__abuse,1.0,0.0,1.0022085792787938,0.1672644997104657,1.3810470333122034,0.0005430209913917653
neuroquery6308_combined_tfidf__abuse alcohol,1.0,-0.0,0.4437975588580767,1.0,-0.0,2.390437591103527e-06
neuroquery6308_combined_tfidf__abuse cocaine,1.0,-0.0,0.0,1.0,-0.0,0.0
neuroquery6308_combined_tfidf__ac,1.0,0.0,1.0089115587264872,1.0,0.0,0.00044641972538163105
neuroquery6308_combined_tfidf__ac pc line,1.0,0.0,0.9980145506811605,1.0,-0.0,0.00020367665009076284
neuroquery6308_combined_tfidf__academic,1.0,-0.0,0.9839641241352596,0.9487774410224237,-0.06424211837769865,0.00010599899813249618
