,cluster,network,%overlap
0,MACM_gradient-1_cluster-0-20>gradient-1_cluster-80-100,2_binary.nii,1.4953271028037383
1,MACM_gradient-1_cluster-0-20>gradient-1_cluster-80-100,7_binary.nii,61.453790238836966
2,MACM_gradient-1_cluster-0-20>gradient-1_cluster-80-100,5_binary.nii,3.0737279335410177
3,MACM_gradient-1_cluster-0-20>gradient-1_cluster-80-100,6_binary.nii,6.043613707165109
4,MACM_gradient-1_cluster-0-20>gradient-1_cluster-80-100,3_binary.nii,0.8722741433021807
5,MACM_gradient-1_cluster-0-20>gradient-1_cluster-80-100,4_binary.nii,11.42263759086189
6,MACM_gradient-1_cluster-0-20>gradient-1_cluster-80-100,1_binary.nii,0.0
7,MACM_gradient-1_cluster-0-20>gradient-1_cluster-80-100,clustercorr_vatl_binary.nii,47.47663551401869
8,MACM_gradient-1_cluster-80-100>gradient-1_cluster-0-20,2_binary.nii,0.7511139401654997
9,MACM_gradient-1_cluster-80-100>gradient-1_cluster-0-20,7_binary.nii,4.404837683004455
10,MACM_gradient-1_cluster-80-100>gradient-1_cluster-0-20,5_binary.nii,0.0
11,MACM_gradient-1_cluster-80-100>gradient-1_cluster-0-20,6_binary.nii,44.099299809038826
12,MACM_gradient-1_cluster-80-100>gradient-1_cluster-0-20,3_binary.nii,34.11839592616168
13,MACM_gradient-1_cluster-80-100>gradient-1_cluster-0-20,4_binary.nii,3.8064926798217695
14,MACM_gradient-1_cluster-80-100>gradient-1_cluster-0-20,1_binary.nii,0.21642266072565244
15,MACM_gradient-1_cluster-80-100>gradient-1_cluster-0-20,clustercorr_vatl_binary.nii,3.5646085295989813
16,MACM_gradient-0_cluster-0-20>gradient-0_cluster-80-100,2_binary.nii,5.436337625178827
17,MACM_gradient-0_cluster-0-20>gradient-0_cluster-80-100,7_binary.nii,15.021459227467812
18,MACM_gradient-0_cluster-0-20>gradient-0_cluster-80-100,5_binary.nii,0.19074868860276586
19,MACM_gradient-0_cluster-0-20>gradient-0_cluster-80-100,6_binary.nii,11.039580352885073
20,MACM_gradient-0_cluster-0-20>gradient-0_cluster-80-100,3_binary.nii,2.312827849308536
21,MACM_gradient-0_cluster-0-20>gradient-0_cluster-80-100,4_binary.nii,49.07010014306152
22,MACM_gradient-0_cluster-0-20>gradient-0_cluster-80-100,1_binary.nii,0.0
23,MACM_gradient-0_cluster-0-20>gradient-0_cluster-80-100,clustercorr_vatl_binary.nii,10.610395803528851
24,MACM_gradient-0_cluster-80-100>gradient-0_cluster-0-20,2_binary.nii,0.0
25,MACM_gradient-0_cluster-80-100>gradient-0_cluster-0-20,7_binary.nii,37.7839592025962
26,MACM_gradient-0_cluster-80-100>gradient-0_cluster-0-20,5_binary.nii,2.642559109874826
27,MACM_gradient-0_cluster-80-100>gradient-0_cluster-0-20,6_binary.nii,42.42002781641168
28,MACM_gradient-0_cluster-80-100>gradient-0_cluster-0-20,3_binary.nii,0.0
29,MACM_gradient-0_cluster-80-100>gradient-0_cluster-0-20,4_binary.nii,0.7417709782104775
30,MACM_gradient-0_cluster-80-100>gradient-0_cluster-0-20,1_binary.nii,0.0
31,MACM_gradient-0_cluster-80-100>gradient-0_cluster-0-20,clustercorr_vatl_binary.nii,27.306444135373205
32,MACM_gradient-1_cluster-0-20_conj_gradient-1_cluster-80-100,2_binary.nii,1.5394969294186927
33,MACM_gradient-1_cluster-0-20_conj_gradient-1_cluster-80-100,7_binary.nii,19.618070160679736
34,MACM_gradient-1_cluster-0-20_conj_gradient-1_cluster-80-100,5_binary.nii,0.025237654580634306
35,MACM_gradient-1_cluster-0-20_conj_gradient-1_cluster-80-100,6_binary.nii,29.275679313535797
36,MACM_gradient-1_cluster-0-20_conj_gradient-1_cluster-80-100,3_binary.nii,10.095061832253723
37,MACM_gradient-1_cluster-0-20_conj_gradient-1_cluster-80-100,4_binary.nii,21.46041894506604
38,MACM_gradient-1_cluster-0-20_conj_gradient-1_cluster-80-100,1_binary.nii,1.312358038192984
39,MACM_gradient-1_cluster-0-20_conj_gradient-1_cluster-80-100,clustercorr_vatl_binary.nii,17.68318330949777
40,MACM_gradient-0_cluster-0-20_conj_gradient-0_cluster-80-100,2_binary.nii,0.22072936660268713
41,MACM_gradient-0_cluster-0-20_conj_gradient-0_cluster-80-100,7_binary.nii,19.712092130518233
42,MACM_gradient-0_cluster-0-20_conj_gradient-0_cluster-80-100,5_binary.nii,0.1343570057581574
43,MACM_gradient-0_cluster-0-20_conj_gradient-0_cluster-80-100,6_binary.nii,33.94433781190019
44,MACM_gradient-0_cluster-0-20_conj_gradient-0_cluster-80-100,3_binary.nii,12.81190019193858
45,MACM_gradient-0_cluster-0-20_conj_gradient-0_cluster-80-100,4_binary.nii,18.742802303262955
46,MACM_gradient-0_cluster-0-20_conj_gradient-0_cluster-80-100,1_binary.nii,0.29750479846449135
47,MACM_gradient-0_cluster-0-20_conj_gradient-0_cluster-80-100,clustercorr_vatl_binary.nii,15.767754318618042
