,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
0,1,-52.0,16.0,2.0,20.142944,17720
1,1a,-44.0,10.0,-4.0,19.619772,
2,1b,-40.0,24.0,6.0,19.55814,
3,1c,-40.0,10.0,4.0,19.363379,
4,2,-6.0,14.0,38.0,18.756453,35744
5,2a,6.0,24.0,34.0,18.621834,
6,2b,-8.0,24.0,30.0,18.526283,
7,2c,0.0,14.0,44.0,18.492733,
8,3,50.0,18.0,-4.0,18.2992,17056
9,3a,44.0,12.0,-2.0,18.037922,
10,3b,34.0,22.0,8.0,17.544975,
11,3c,38.0,16.0,4.0,17.534163,
12,4,-38.0,6.0,8.0,17.744825,472
13,4a,-52.0,6.0,8.0,17.372335,
14,4b,-60.0,4.0,8.0,16.868402,
15,4c,-20.0,6.0,8.0,11.037905,
16,5,-56.0,-40.0,26.0,16.386497,21256
17,5a,-62.0,-22.0,16.0,15.685074,
18,5b,-66.0,-40.0,24.0,15.643369,
19,5c,-56.0,-20.0,18.0,15.397648,
20,6,58.0,-30.0,32.0,16.04187,14000
21,6a,66.0,-26.0,26.0,15.826045,
22,6b,66.0,-38.0,24.0,15.729129,
23,6c,68.0,-46.0,28.0,15.614047,
24,7,-64.0,-18.0,14.0,15.372459,72
25,7a,-52.0,-18.0,14.0,14.583275,
26,8,-48.0,-12.0,48.0,15.026341,48
27,9,54.0,6.0,42.0,14.979428,2032
28,9a,50.0,0.0,50.0,14.920078,
29,9b,34.0,-2.0,50.0,13.951791,
30,10,54.0,-6.0,52.0,14.892184,16
31,11,-60.0,-16.0,18.0,14.880576,88
32,11a,-46.0,-16.0,18.0,9.383706,
33,12,48.0,-6.0,52.0,14.432578,8
34,13,-30.0,50.0,24.0,14.325862,5776
35,14,14.0,-8.0,76.0,14.224434,8
36,15,32.0,-6.0,52.0,13.973765,56
37,15a,44.0,-6.0,52.0,11.061874,
38,16,-46.0,-18.0,14.0,13.96797,24
39,17,32.0,-8.0,54.0,13.883469,64
40,17a,42.0,-8.0,54.0,12.466593,
41,18,34.0,42.0,28.0,13.673067,80
42,19,34.0,46.0,30.0,13.673067,2760
43,19a,42.0,50.0,20.0,5.923031,
44,20,-60.0,-2.0,26.0,13.577737,264
45,20a,-52.0,-4.0,24.0,11.565009,
46,21,-56.0,-14.0,26.0,12.39744,40
47,22,28.0,46.0,20.0,12.273715,376
48,22a,38.0,48.0,12.0,5.923031,
49,23,-26.0,-14.0,52.0,11.976644,16
50,24,-52.0,-6.0,22.0,11.532437,16
51,25,-14.0,-10.0,74.0,11.532437,8
52,26,-26.0,-12.0,48.0,11.061874,32
53,27,-56.0,-8.0,16.0,10.565524,32
54,28,-8.0,4.0,2.0,10.03241,16
55,29,22.0,12.0,4.0,9.943776,64
56,29a,12.0,12.0,4.0,7.851726,
57,30,22.0,8.0,0.0,9.592394,280
58,31,-38.0,-8.0,16.0,9.383706,32
59,32,-44.0,-12.0,36.0,9.383706,8
60,33,-44.0,-64.0,-32.0,8.6548195,8
61,34,-52.0,-8.0,34.0,8.6548195,24
62,35,-34.0,44.0,42.0,8.039227,8
63,36,12.0,8.0,0.0,7.8328705,8
64,37,-52.0,20.0,-22.0,6.8831925,8
65,38,-46.0,-42.0,0.0,5.7494893,8
66,39,-8.0,2.0,4.0,5.7494893,8
