,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
0,1,-54.0,20.0,20.0,21.732704,26192
1,1a,-48.0,42.0,-2.0,20.362898,
2,1b,-52.0,34.0,8.0,19.972954,
3,1c,-50.0,32.0,-8.0,19.523756,
4,2,-54.0,22.0,4.0,21.732704,5216
5,2a,-48.0,26.0,-4.0,21.694883,
6,2b,-54.0,20.0,-4.0,19.792086,
7,2c,-34.0,22.0,0.0,18.056263,
8,3,-54.0,28.0,6.0,19.306679,96
9,4,-2.0,22.0,60.0,18.710487,23232
10,4a,-2.0,32.0,52.0,18.453913,
11,4b,-2.0,38.0,40.0,16.483961,
12,4c,-12.0,20.0,62.0,16.483961,
13,5,-54.0,-44.0,48.0,17.653229,32240
14,5a,-56.0,-48.0,40.0,16.852827,
15,5b,-54.0,-38.0,48.0,16.61671,
16,5c,-56.0,-50.0,36.0,16.146818,
17,6,-48.0,16.0,42.0,16.593145,360
18,7,-46.0,6.0,56.0,16.242722,192
19,7a,-24.0,6.0,56.0,7.6914215,
20,8,-48.0,36.0,22.0,16.242722,72
21,9,48.0,40.0,0.0,14.127654,4320
22,9a,46.0,32.0,-8.0,12.181602,
23,10,56.0,30.0,-2.0,13.556326,1120
24,11,58.0,26.0,18.0,13.0255785,1704
25,11a,56.0,24.0,26.0,12.902939,
26,11b,54.0,20.0,16.0,11.454286,
27,12,-32.0,16.0,-20.0,12.701665,280
28,12a,-40.0,16.0,-18.0,11.56442,
29,12b,-20.0,16.0,-20.0,10.980322,
30,13,-50.0,20.0,40.0,12.701665,80
31,13a,-40.0,20.0,40.0,11.56442,
32,14,14.0,-76.0,-30.0,11.482612,832
33,15,-46.0,16.0,-26.0,10.975219,408
34,15a,-32.0,16.0,-24.0,10.942322,
35,15b,-40.0,18.0,-26.0,10.096056,
36,15c,-28.0,16.0,-24.0,10.096056,
37,16,54.0,34.0,12.0,10.919949,112
38,16a,44.0,34.0,12.0,7.6914215,
39,17,-50.0,0.0,50.0,10.50538,264
40,17a,-38.0,0.0,52.0,9.350639,
41,17b,-46.0,-2.0,44.0,7.9789405,
42,18,-48.0,8.0,6.0,10.50538,24
43,19,-36.0,2.0,66.0,10.12963,64
44,20,-16.0,56.0,-16.0,9.994002,56
45,21,-44.0,-2.0,-44.0,9.261357,2424
46,21a,-46.0,-2.0,-30.0,7.964534,
47,21b,-50.0,-2.0,-44.0,7.899242,
48,21c,-36.0,0.0,-44.0,7.8174996,
49,22,-50.0,-6.0,-40.0,8.256217,856
50,22a,-54.0,-12.0,-36.0,7.4351273,
51,22b,-38.0,-6.0,-40.0,5.949534,
52,22c,-62.0,-16.0,-36.0,5.7609673,
53,23,-44.0,-40.0,-14.0,8.117151,136
54,24,-44.0,-40.0,-18.0,8.117151,608
55,24a,-56.0,-40.0,-22.0,7.7308116,
56,25,16.0,52.0,30.0,8.049455,32
57,26,-58.0,-18.0,0.0,7.9789405,24
58,27,-52.0,-8.0,-30.0,7.8174996,392
59,28,-46.0,-52.0,-10.0,7.735327,16
60,29,-44.0,-32.0,-16.0,7.733096,16
61,30,-22.0,60.0,24.0,7.6914215,48
62,31,-26.0,18.0,-30.0,7.6914215,24
63,32,-16.0,24.0,-22.0,7.6914215,8
64,33,-22.0,32.0,-20.0,7.6914215,32
65,34,-6.0,56.0,-16.0,7.6914215,8
66,35,18.0,52.0,26.0,7.6914215,32
67,36,-42.0,-42.0,-12.0,7.6914215,16
68,37,-32.0,28.0,-22.0,7.6914215,8
69,38,-40.0,4.0,-42.0,7.4351273,96
70,39,58.0,-42.0,52.0,7.021406,440
71,39a,52.0,-34.0,48.0,6.33941,
72,40,-32.0,-12.0,0.0,6.844914,40
73,41,-32.0,-2.0,0.0,6.7253914,16
74,42,-10.0,-18.0,24.0,6.7154636,24
75,43,52.0,-38.0,44.0,6.6797523,16
76,44,-26.0,60.0,18.0,6.393484,8
77,45,-48.0,-8.0,-46.0,6.393484,16
78,46,-42.0,-8.0,-46.0,6.3430886,8
79,47,-52.0,14.0,-8.0,6.33941,8
80,48,-60.0,-50.0,16.0,6.33941,8
81,49,48.0,-38.0,44.0,6.33941,8
82,50,-58.0,-46.0,18.0,6.33941,8
83,51,-40.0,-4.0,42.0,6.33941,8
84,52,-56.0,-38.0,10.0,6.33941,8
85,53,-42.0,-6.0,40.0,6.33941,8
86,54,-30.0,-14.0,4.0,6.33941,24
87,55,-28.0,8.0,-42.0,6.027561,8
88,56,-52.0,-8.0,-46.0,5.949534,8
89,57,-52.0,-42.0,-26.0,5.707582,8
90,58,14.0,50.0,26.0,5.707582,16
91,59,8.0,50.0,48.0,5.707582,8
92,60,-52.0,-16.0,-30.0,5.707582,8
93,61,-52.0,-52.0,-22.0,5.707582,8
94,62,-12.0,48.0,50.0,5.707582,8
95,63,-48.0,-18.0,-28.0,5.707582,8
96,64,-10.0,60.0,-20.0,5.707582,8
97,65,-12.0,24.0,-22.0,5.707582,8
98,66,-14.0,60.0,24.0,5.707582,16
99,67,-14.0,-10.0,18.0,5.707582,8
100,68,-16.0,22.0,-24.0,5.707582,8
101,69,-22.0,34.0,-18.0,5.707582,8
102,70,-24.0,26.0,-24.0,5.707582,8
103,71,-32.0,-10.0,-42.0,5.707582,8
104,72,-6.0,60.0,-20.0,5.707582,8
105,73,-40.0,8.0,-42.0,5.707582,8
