,cluster,network,%overlap
0,gradient-0_cluster-80-100>gradient-0_cluster-0-20,2_binary.nii,0.002924575205451408
1,gradient-0_cluster-80-100>gradient-0_cluster-0-20,7_binary.nii,34.03620624104349
2,gradient-0_cluster-80-100>gradient-0_cluster-0-20,5_binary.nii,9.557511771415202
3,gradient-0_cluster-80-100>gradient-0_cluster-0-20,6_binary.nii,20.533442517474338
4,gradient-0_cluster-80-100>gradient-0_cluster-0-20,3_binary.nii,4.40148568420437
5,gradient-0_cluster-80-100>gradient-0_cluster-0-20,4_binary.nii,0.11990758342350774
6,gradient-0_cluster-80-100>gradient-0_cluster-0-20,1_binary.nii,0.5527447138303161
7,gradient-0_cluster-80-100>gradient-0_cluster-0-20,clustercorr_vatl_binary.nii,45.948001052847076
8,gradient-0_cluster-0-20>gradient-0_cluster-80-100,2_binary.nii,12.280990105519214
9,gradient-0_cluster-0-20>gradient-0_cluster-80-100,7_binary.nii,10.525623746753887
10,gradient-0_cluster-0-20>gradient-0_cluster-80-100,5_binary.nii,0.23010420433253345
11,gradient-0_cluster-0-20>gradient-0_cluster-80-100,6_binary.nii,12.192235626705237
12,gradient-0_cluster-0-20>gradient-0_cluster-80-100,3_binary.nii,9.22060418789652
13,gradient-0_cluster-0-20>gradient-0_cluster-80-100,4_binary.nii,34.84763814470267
14,gradient-0_cluster-0-20>gradient-0_cluster-80-100,1_binary.nii,0.003287202919036192
15,gradient-0_cluster-0-20>gradient-0_cluster-80-100,clustercorr_vatl_binary.nii,7.425791394102758
16,gradient-1_cluster-0-20>gradient-1_cluster-80-100,2_binary.nii,1.0514442251138056
17,gradient-1_cluster-0-20>gradient-1_cluster-80-100,7_binary.nii,57.07207025742255
18,gradient-1_cluster-0-20>gradient-1_cluster-80-100,5_binary.nii,13.072553680054789
19,gradient-1_cluster-0-20>gradient-1_cluster-80-100,6_binary.nii,3.5249566933891954
20,gradient-1_cluster-0-20>gradient-1_cluster-80-100,3_binary.nii,0.10071304838254844
21,gradient-1_cluster-0-20>gradient-1_cluster-80-100,4_binary.nii,5.954155420376264
22,gradient-1_cluster-0-20>gradient-1_cluster-80-100,1_binary.nii,0.0
23,gradient-1_cluster-0-20>gradient-1_cluster-80-100,clustercorr_vatl_binary.nii,61.89421101397897
24,gradient-1_cluster-80-100>gradient-1_cluster-0-20,2_binary.nii,1.5086206896551724
25,gradient-1_cluster-80-100>gradient-1_cluster-0-20,7_binary.nii,8.805418719211822
26,gradient-1_cluster-80-100>gradient-1_cluster-0-20,5_binary.nii,0.5726600985221675
27,gradient-1_cluster-80-100>gradient-1_cluster-0-20,6_binary.nii,41.49630541871921
28,gradient-1_cluster-80-100>gradient-1_cluster-0-20,3_binary.nii,26.354679802955665
29,gradient-1_cluster-80-100>gradient-1_cluster-0-20,4_binary.nii,5.369458128078818
30,gradient-1_cluster-80-100>gradient-1_cluster-0-20,1_binary.nii,1.1206896551724137
31,gradient-1_cluster-80-100>gradient-1_cluster-0-20,clustercorr_vatl_binary.nii,11.317733990147783
32,gradient-0_cluster-0-20_conj_gradient-0_cluster-80-100,2_binary.nii,0.7550154598403681
33,gradient-0_cluster-0-20_conj_gradient-0_cluster-80-100,7_binary.nii,29.488746674336664
34,gradient-0_cluster-0-20_conj_gradient-0_cluster-80-100,5_binary.nii,5.867548716473718
35,gradient-0_cluster-0-20_conj_gradient-0_cluster-80-100,6_binary.nii,25.87186309052995
36,gradient-0_cluster-0-20_conj_gradient-0_cluster-80-100,3_binary.nii,6.392464226648451
37,gradient-0_cluster-0-20_conj_gradient-0_cluster-80-100,4_binary.nii,5.633853455094557
38,gradient-0_cluster-0-20_conj_gradient-0_cluster-80-100,1_binary.nii,0.0035953117135255628
39,gradient-0_cluster-0-20_conj_gradient-0_cluster-80-100,clustercorr_vatl_binary.nii,34.25613000647156
40,gradient-1_cluster-0-20_conj_gradient-1_cluster-80-100,2_binary.nii,5.334982113677516
41,gradient-1_cluster-0-20_conj_gradient-1_cluster-80-100,7_binary.nii,47.95300976019079
42,gradient-1_cluster-0-20_conj_gradient-1_cluster-80-100,5_binary.nii,6.620147506955792
43,gradient-1_cluster-0-20_conj_gradient-1_cluster-80-100,6_binary.nii,15.554475996996864
44,gradient-1_cluster-0-20_conj_gradient-1_cluster-80-100,3_binary.nii,1.9829527889413947
45,gradient-1_cluster-0-20_conj_gradient-1_cluster-80-100,4_binary.nii,7.794903502186106
46,gradient-1_cluster-0-20_conj_gradient-1_cluster-80-100,1_binary.nii,0.008832751843836948
47,gradient-1_cluster-0-20_conj_gradient-1_cluster-80-100,clustercorr_vatl_binary.nii,53.601554564324516
